
 asic nonce number for chain[0]...
domain 00 asic[000]=100336   asic[001]=99136    asic[002]=100505   asic[003]=87521    asic[004]=86149    asic[005]=87112    asic[006]=86424     total=647183  
domain 01 asic[007]=86868    asic[008]=84195    asic[009]=96437    asic[010]=100825   asic[011]=85696    asic[012]=100465   asic[013]=100218    total=654704  
domain 02 asic[014]=88154    asic[015]=98885    asic[016]=100428   asic[017]=89435    asic[018]=99366    asic[019]=98954    asic[020]=88275     total=663497  
domain 03 asic[021]=84725    asic[022]=96114    asic[023]=99671    asic[024]=98981    asic[025]=100107   asic[026]=100466   asic[027]=93651     total=673715  
domain 04 asic[028]=99761    asic[029]=99409    asic[030]=100123   asic[031]=100074   asic[032]=99124    asic[033]=85459    asic[034]=84605     total=668555  
domain 05 asic[035]=84652    asic[036]=90687    asic[037]=98619    asic[038]=99818    asic[039]=98942    asic[040]=100167   asic[041]=100233    total=673118  
domain 06 asic[042]=99655    asic[043]=90033    asic[044]=83629    asic[045]=100809   asic[046]=85354    asic[047]=100961   asic[048]=89472     total=649913  
domain 07 asic[049]=98672    asic[050]=100353   asic[051]=84769    asic[052]=83338    asic[053]=84950    asic[054]=90575    asic[055]=100083    total=642740  
domain 08 asic[056]=100421   asic[057]=99496    asic[058]=98735    asic[059]=99055    asic[060]=91017    asic[061]=83908    asic[062]=94538     total=667170  
domain 09 asic[063]=89665    asic[064]=96878    asic[065]=87185    asic[066]=98189    asic[067]=99626    asic[068]=99408    asic[069]=101093    total=672044  
domain 10 asic[070]=99344    asic[071]=99787    asic[072]=99342    asic[073]=96805    asic[074]=88828    asic[075]=90043    asic[076]=91627     total=665776  
domain 11 asic[077]=84631    asic[078]=97804    asic[079]=84398    asic[080]=99877    asic[081]=99189    asic[082]=100605   asic[083]=98717     total=665221  
domain 12 asic[084]=99081    asic[085]=99564    asic[086]=84928    asic[087]=84735    asic[088]=98966    asic[089]=96691    asic[090]=93038     total=657003  

 asic nonce number for chain[1]...
domain 00 asic[000]=96029    asic[001]=96529    asic[002]=96623    asic[003]=96517    asic[004]=96339    asic[005]=96996    asic[006]=85072     total=664105  
domain 01 asic[007]=97010    asic[008]=85446    asic[009]=95727    asic[010]=95287    asic[011]=97643    asic[012]=96966    asic[013]=97514     total=665593  
domain 02 asic[014]=95994    asic[015]=95946    asic[016]=97525    asic[017]=97557    asic[018]=96689    asic[019]=96512    asic[020]=95232     total=675455  
domain 03 asic[021]=92538    asic[022]=95563    asic[023]=97401    asic[024]=95701    asic[025]=97484    asic[026]=96470    asic[027]=96996     total=672153  
domain 04 asic[028]=97487    asic[029]=96329    asic[030]=97423    asic[031]=95166    asic[032]=97685    asic[033]=96184    asic[034]=84143     total=664417  
domain 05 asic[035]=82982    asic[036]=96360    asic[037]=96083    asic[038]=95247    asic[039]=97458    asic[040]=96156    asic[041]=97481     total=661767  
domain 06 asic[042]=97271    asic[043]=85634    asic[044]=96413    asic[045]=97745    asic[046]=96652    asic[047]=90902    asic[048]=89611     total=654228  
domain 07 asic[049]=87527    asic[050]=95675    asic[051]=95999    asic[052]=97696    asic[053]=95996    asic[054]=97019    asic[055]=96695     total=666607  
